kalamon	κάλαμον	κάλαμος	a reed	0
kalamos	κάλαμος	κάλαμος	a reed	0
kalais	κάλαϊς	κάλαϊς	turquoise (a sky-blue, greenish-blue, or greenish-gray semi-	0
kalei	κάλει	καλέω	to call, summon	0
kaleon	κάλεον	καλέω	to call, summon	0
kalesson	κάλεσσον	καλέω	to call, summon	0
kalinos	κάλινος	κάλινος	wooden	0
kallion	κάλλιον	κάλλιον	a precinct used as a court at Athens	0
kallos	κάλλος	κάλλος	beauty	0
kalpis	κάλπις	κάλπις	pitcher	1
kalumma	κάλυμμα	κάλυμμα	A head covering, a hood, a veil	0
kalux	κάλυξ	κάλυξ	A covering of a flower or fruit	1
kalupsa	κάλυψα	καλύπτω	to cover	0
kalupsas	κάλυψας	καλύπτω	to cover	0
kalupse	κάλυψε	καλύπτω	to cover	0
kalupsen	κάλυψεν	καλύπτω	to cover	0
kalkhe	κάλχη	κάλχη	purple-fish (Hexaplex trunculus)	0
kalos	κάλως	κάλως	reefing rope	0
kamax	κάμαξ	κάμαξ	vine pole	0
kamatos	κάματος	κάματος	toil, trouble	0
kame	κάμε	κάμνω	to exert oneself, labour, work hard	0
kamelos	κάμηλος	κάμηλος	camel	0
kamilos	κάμιλος	κάμιλος	mooring rope	0
kaminos	κάμινος	κάμινος	oven, furnace, kiln	0
kammaros	κάμμαρος	κάμμαρος	a kind of lobster or shrimp	0
kammore	κάμμορε	κάμμορος	ill-fated	0
kammoros	κάμμορος	κάμμορος	ill-fated	0
kamno	κάμνω	κάμνω	to exert oneself, labour, work hard	0
kamon	κάμον	κάμον	barley-beer	0
kampe	κάμπε	κάμπος	sea monster	0
kampe	κάμπη	κάμπη	caterpillar	0
kampoi	κάμποι	κάμπος	sea monster	0
kampon	κάμπον	κάμπος	sea monster	0
kampos	κάμπος	κάμπος	sea monster	0
kampou	κάμπου	κάμπος	sea monster	0
kampous	κάμπους	κάμπος	sea monster	0
kampto	κάμπτω	κάμπτω	to bend	0
kampsa	κάμψα	κάμψα	basket, case	0
kampsis	κάμψις	κάμψις	bend, (act of) bending	1
kanabos	κάναβος	κάναβος	block figure (wooden framework round which artists moulded w	0
kandus	κάνδυς	κάνδυς	mantle with sleeves worn by Persians	1
kaneon	κάνεον	κάνεον	basket of reed or cane, especially a breadbasket	0
kanes	κάνης	κάνης	mat made of reeds	0
kanna	κάννα	κάννα	giant reed (Arundo donax)	0
kannabis	κάνναβις	κάνναβις	hemp (Cannabis sativa)	0
kanopon	κάνωπον	κάνωπον	elderflower	0
kapetos	κάπετος	κάπετος	ditch, trench	0
kape	κάπη	κάπη	crib, manger	0
kapelos	κάπηλος	κάπηλος	retail dealer, huckster	0
kapnisma	κάπνισμα	κάπνισμα	offering of smoke, i	0
kappa	κάππα	κάππα	kappa, the name for the tenth letter Κ (K), κ (k) of the Anc	0
kapparis	κάππαρις	κάππαρις	caper (Capparis spinosa)	1
kappese	κάππεσε	καταπίπτω	to fall down	0
kappeson	κάππεσον	καταπίπτω	to fall down	0
kaproi	κάπροι	κάπρος	boar, especially wild boar	0
kapron	κάπρον	κάπρος	boar, especially wild boar	0
kapros	κάπρος	κάπρος	boar, especially wild boar	0
kaprous	κάπρους	κάπρος	boar, especially wild boar	0
kapto	κάπτω	κάπτω	to gulp down	0
kara	κάρα	κάρα	head	0
karabos	κάραβος	κάραβος	a kind of beetle	0
karbanos	κάρβανος	κάρβανος	outlandish, foreign	0
kardamon	κάρδαμον	κάρδαμον	garden cress (Lepidium sativum), of which the seed was eaten	0
kardax	κάρδαξ	κάρδαξ	A kind of mercenary soldier by the Persians	0
kardopos	κάρδοπος	κάρδοπος	kneading trough	0
kare	κάρη	κάρη	Homeric and Ionic form of κᾰ́ρᾱ (kắrā)	0
karenon	κάρηνον	κάρηνον	head	0
karetos	κάρητος	κάρη	Homeric and Ionic form of κᾰ́ρᾱ (kắrā)	0
karthra	κάρθρα	κάρθρα	wages for clipping or shearing	0
karma	κάρμα	κάρμα	wool shorn off	0
karnon	κάρνον	κάρνον	Gallic horn, a wind instrument used by Celts	0
karoinon	κάροινον	κάροινον	carenum, sweet wine boiled down	0
karos	κάρος	κάρος	heavy sleep	0
karpasos	κάρπασος	κάρπασος	flax (Linum usitatissimum or Linum bienne)	0
karpimos	κάρπιμος	κάρπιμος	fruit-bearing	0
karpion	κάρπιον	κάρπιον	screw pine (Pandanus odorifer)	0
karron	κάρρον	κάρρον	car, cart	0
karta	κάρτα	κάρτα	very	0
kartos	κάρτος	κράτος	might	0
karuon	κάρυον	κάρυον	nut (hard-shelled seed)	1
karphos	κάρφος	κάρφος	arid stalk, dry twig, chip of wood	0
karpho	κάρφω	κάρφω	to dry up, wither, shrivel	0
karosis	κάρωσις	κάρωσις	heaviness in the head, drowsiness	0
kassuma	κάσσυμα	κάσσυμα	anything stitched of leather	0
kastana	κάστανα	κάστανα	sweet chestnuts	0
kastra	κάστρα	κάστρον	fort	0
kastron	κάστρον	κάστρον	fort	0
kastrou	κάστρου	κάστρον	fort	0
kastor	κάστωρ	κάστωρ	beaver	0
kata	κάτα	κάτα	Byzantine spelling of κάττα (kátta)	0
kateimi	κάτειμι	κάτειμι	to go down, come down	0
katoike	κάτοικε	κάτοικος	inhabitant	0
katoikoi	κάτοικοι	κάτοικος	inhabitant	0
katoikon	κάτοικον	κάτοικος	inhabitant	0
katoikos	κάτοικος	κάτοικος	inhabitant	0
katta	κάττα	κάττα	cat	0
kattai	κάτται	κάττα	cat	0
kattain	κάτταιν	κάττα	cat	0
kattais	κάτταις	κάττα	cat	0
kattan	κάτταν	κάττα	cat	0
kattas	κάττας	κάττα	cat	0
kattes	κάττης	κάττα	cat	0
katte	κάττῃ	κάττα	cat	0
kato	κάτω	κάτω	downwards	0
kakhlex	κάχληξ	κάχληξ	pebble (in the bed of a river)	0
kakhrus	κάχρυς	κάχρυς	parched barley	0
kapsa	κάψα	κάψα	basket, case	0
kapsis	κάψις	κάψις	a gulping down	0
keatai	κέαται	κεῖμαι	to lie, lie outstretched	0
kegkhros	κέγχρος	κέγχρος	millet (Panicum miliaceum)	0
kedmata	κέδματα	κέδματα	Certain morbid affections mentioned by Hippocrates which, in	0
kedrinos	κέδρινος	κέδρινος	made of cedar	0
kedros	κέδρος	κέδρος	cedar (tree of genus Cedrus or Juniperus)	0
keesthai	κέεσθαι	κέεσθαι	uncontracted present middle infinitive of κεῖμαι (keîmai)	0
keetai	κέηται	κεῖμαι	to lie, lie outstretched	0
kekadon	κέκαδον	κέκαδον	to deprive	0
kekasmai	κέκασμαι	καίνυμαι	to surpass, overcome	0
kekleto	κέκλετο	κέλομαι	to command	0
keklute	κέκλυτε	κλύω	to hear, listen to	0
kektemai	κέκτημαι	κτάομαι	to get, obtain, acquire, gain, win	0
kelados	κέλαδος	κέλαδος	loud noise, din, clamour	0
keleai	κέλεαι	κέλομαι	to command	0
keletai	κέλεται	κέλομαι	to command	0
keleue	κέλευε	κελεύω	to urge, bid, exhort	0
keleutha	κέλευθα	κέλευθος	road, way, path	0
keleuse	κέλευσε	κελεύω	to urge, bid, exhort	0
keleusma	κέλευσμα	κέλευσμα	an order, command, behest	0
keles	κέλης	κέλης	racehorse	0
kella	κέλλα	κέλλα	cell, room, chamber	0
kello	κέλλω	κέλλω	to drive on, to run a ship to land, put a ship to shore	0
kelomai	κέλομαι	κέλομαι	to command	0
kelontai	κέλονται	κέλομαι	to command	0
keluphos	κέλυφος	κέλυφος	sheath, case	0
kelor	κέλωρ	κέλωρ	son	0
kentra	κέντρα	κέντρον	something with a sharp point	0
kentrois	κέντροις	κέντρον	something with a sharp point	0
kentron	κέντρον	κέντρον	something with a sharp point	0
kentrou	κέντρου	κέντρον	something with a sharp point	0
kentro	κέντρῳ	κέντρον	something with a sharp point	0
keontai	κέονται	κεῖμαι	to lie, lie outstretched	0
kepphos	κέπφος	κέπφος	storm petrel (Hydrobates pelagicus)	0
keramos	κέραμος	κέραμος	potter's clay	0
keras	κέρας	κέρας	horn (of an animal)	0
kerdei	κέρδει	κέρδος	gain, profit	0
kerdesi	κέρδεσι	κέρδος	gain, profit	0
kerdesin	κέρδεσιν	κέρδος	gain, profit	0
kerdion	κερδίων	κερδίων	more profitable, more advantageous	0
kerdos	κέρδος	κέρδος	gain, profit	0
kerdous	κέρδους	κέρδος	gain, profit	0
kerthios	κέρθιος	κέρθιος	treecreeper (Certhia familiaris)	0
kerka	κέρκα	κέρκα	ἀκρίς (akrís, “grasshopper, locust”)	0
kerkeris	κέρκηρις	κέρκηρις	teal (Anas crecca)	0
kerkos	κέρκος	κέρκος	the tail of a beast	1
kerma	κέρμα	κέρμα	fragment	0
kernos	κέρνος	κέρνος	large earthen dish with small pots, in which fruits were off	1
kertomos	κέρτομος	κέρτομος	stinging, reproachful	0
kerkhne	κέρχνη	κέρχνη	kestrel (Falco tinnunculus)	0
kerkhnos	κέρχνος	κέρχνος	rough excrescence	0
kesketo	κέσκετο	κεῖμαι	to lie, lie outstretched	0
kestra	κέστρα	κέστρα	sharp hammer	0
kestron	κέστρον	κέστρον	ironwort of species Sideritis romana subsp	0
kestros	κέστρος	κέστρος	sharpness or roughness of the tongue	0
kephalos	κέφαλος	κέφαλος	a species of mullet (Mugil cephalus)	0
kekhena	κέχηνα	χάσκω	to yawn, gape, open wide	0
kekhuto	κέχυτο	χέω	to pour	0
kedea	κήδεα	κῆδος	care for others	0
kedetai	κήδεται	κήδω	to trouble, distress, vex	0
kedeto	κήδετο	κήδω	to trouble, distress, vex	0
kedo	κήδω	κήδω	to trouble, distress, vex	0
keleos	κήλεος	κήλεος	burning, blazing	0
kele	κήλη	κήλη	tumour, swelling	1
kelon	κήλων	κήλων	swape, swing-beam for drawing water, shadoof	0
kex	κήξ	κήξ	sea swallow	0
kepoin	κήποιν	κῆπος	garden, orchard or plantation	0
kepois	κήποις	κῆπος	garden, orchard or plantation	0
kepo	κήπω	κῆπος	garden, orchard or plantation	0
ker	κήρ	κήρ	death	0
kerinos	κήρινος	κήρινος	waxen	0
kerugma	κήρυγμα	κήρυγμα	proclamation	1
kibdelos	κίβδηλος	κίβδηλος	base, fake, counterfeit (especially of coins)	0
kibdos	κίβδος	κίβδος	dross or alloy of gold	0
kibisis	κίβισις	κίβισις	A pouch, a wallet, such as Perseus wore	0
kigklos	κίγκλος	κίγκλος	dipper (Cinclus cinclus)	0
kidaphos	κίδαφος	κίδαφος	wily, cunning, sly	0
kidnamai	κίδναμαι	κίδναμαι	to be spread over	0
kiki	κίκι	κίκι	castor oil	0
kikinne	κίκιννε	κίκιννος	lock of curly hair	0
kikinnoi	κίκιννοι	κίκιννος	lock of curly hair	0
kikinnon	κίκιννον	κίκιννος	lock of curly hair	0
kikinnos	κίκιννος	κίκιννος	lock of curly hair	0
kikinos	κίκινος	κίκινος	made from the castor oil tree	0
killix	κίλλιξ	κίλλιξ	ox with crooked horns	0
kinaidos	κίναιδος	κίναιδος	cinaedus, catamite	0
kindunos	κίνδυνος	κίνδυνος	danger, risk, hazard	0
kinema	κίνημα	κίνημα	movement	0
kinesis	κίνησις	κίνησις	motion	1
kinetron	κίνητρον	κίνητρον	ladle or stick for stirring	0
kinnamon	κίνναμον	κιννάμωμον	Chinese cinnamon (Cinnamomum cassia)	0
kixios	κίξιος	κίξιος	cicada	0
kiouros	κίουρος	κίουρος	basket for corn	0
kirkinos	κίρκινος	κίρκινος	compass	0
kirkos	κίρκος	κίρκος	a type of hawk or falcon	0
kirsion	κίρσιον	κίρσιον	kind of thistle	0
kis	κίς	κίς	weevil (beetle in the superfamily Curculionoidea)	0
kiseris	κίσηρις	κίσηρις	pumice stone	0
kisthos	κίσθος	κίσθος	rockrose (Cistus)	0
kissa	κίσσα	κίσσα	Eurasian jay (Garrulus glandarius)	0
kissinos	κίσσινος	κίσσινος	of ivy	0
kiste	κίστη	κίστη	box, chest, casket	1
kitrinos	κίτρινος	κίτρινος	of the citron tree	0
kitron	κίτρον	κίτρον	fruit of the citron tree	0
kikhle	κίχλη	κίχλη	thrush (bird)	1
kikhora	κίχορα	κίχορα	chicory (Cichorium intybus)	0
kio	κίω	κίω	to go	0
kion	κίων	κίων	pillar	0
kai	καί	καί	and	0
kaiein	καίειν	καίω	to light, kindle, set on fire	0
kaieto	καίετο	καίω	to light, kindle, set on fire	0
kainumai	καίνυμαι	καίνυμαι	to surpass, overcome	0
kaino	καίνω	καίνω	to kill, slay	0
kainosis	καίνωσις	καίνωσις	renewal	0
kaionto	καίοντο	καίω	to light, kindle, set on fire	0
kaiper	καίπερ	καίπερ	although, albeit	0
kairios	καίριος	καίριος	in or at the right place	0
kairon	καίρων	καῖρος	row of thrums in the loom, ravel	0
kaitoi	καίτοι	καίτοι	and indeed, and further	0
kaio	καίω	καίω	to light, kindle, set on fire	0
kaballes	καβάλλης	καβάλλης	nag, old and useless horse	0
kadmeia	καδμεία	καδμεία	cadmia, calamine (a pale pink zinc oxide collected on furnac	0
kadutas	καδύτας	καδύτας	love vine (Cassytha filiformis)	0
katha	καθά	καθά	according to which, just as	0
kathaper	καθάπερ	καθάπερ	exactly as	0
kathapto	καθάπτω	καθάπτω	to fasten, make fast	0
kathedra	καθέδρα	καθέδρα	seat	0
kathelko	καθέλκω	καθέλκω	to draw to the see, launch	0
kathexei	καθέξει	κατέχω	to hold down	0
katheko	καθήκω	καθήκω	to come or go down (esp	0
kathizo	καθίζω	καθίζω	to make to sit down, seat	0
kathiemi	καθίημι	καθίημι	to send down, let fall, let down, lower	0
kathairo	καθαίρω	καθαίρω	to make clean, to clean, cleanse	0
katharos	καθαρός	καθαρός	clean, clear, pure	1
katharo	καθαρῷ	καθαρός	clean, clear, pure	1
kathelon	καθελών	καθαιρέω	to demolish, destroy	0
katheter	καθετήρ	καθετήρ	a surgical instrument for emptying the bladder, a catheter	1
katheudo	καθεύδω	καθεύδω	to sleep	0
kathorao	καθοράω	καθοράω	to look down	0
kathoti	καθότι	καθότι	in what manner, so far as, inasmuch as	0
katherei	καθῄρει	καθαιρέω	to demolish, destroy	0
kaiadas	καιάδας	καιάδας	pit or underground cavern, into which state-prisoners or the	0
kaietos	καιετός	καιετός	fissure produced by an earthquake	0
kaikias	καικίας	καικίας	the north-east wind	0
kaina	καινά	καινός	new, novel, recent	0
kainas	καινάς	καινός	new, novel, recent	0
kaine	καινέ	καινός	new, novel, recent	0
kainen	καινήν	καινός	new, novel, recent	0
kainai	καιναί	καινός	new, novel, recent	0
kainain	καιναῖν	καινός	new, novel, recent	0
kainais	καιναῖς	καινός	new, novel, recent	0
kainoi	καινοί	καινός	new, novel, recent	0
kainous	καινούς	καινός	new, novel, recent	0
kainoin	καινοῖν	καινός	new, novel, recent	0
kainois	καινοῖς	καινός	new, novel, recent	0
kainou	καινοῦ	καινός	new, novel, recent	0
kainon	καινόν	καινός	new, novel, recent	0
kainos	καινός	καινός	new, novel, recent	0
kainotes	καινότης	καινότης	newness, freshness	0
kainoo	καινόω	καινόω	to make new, renew, change	0
kaino	καινώ	καινός	new, novel, recent	0
kaines	καινῆς	καινός	new, novel, recent	0
kaire	καιρέ	καιρός	measure	1
kairoi	καιροί	καιρός	measure	1
kairous	καιρούς	καιρός	measure	1
kairoin	καιροῖν	καιρός	measure	1
kairoio	καιροῖο	καιρός	measure	1
kairois	καιροῖς	καιρός	measure	1
kairoisi	καιροῖσι	καιρός	measure	1
kairoiin	καιροῖϊν	καιρός	measure	1
kairou	καιροῦ	καιρός	measure	1
kairon	καιρόν	καιρός	measure	1
kairos	καιρός	καιρός	measure	1
kairo	καιρώ	καιρός	measure	1
kaka	κακά	κακός	As a measure of quality	1
kake	κακέ	κακός	As a measure of quality	1
kakia	κακία	κακία	lack of quality	0
kakkabe	κακκάβη	κακκάβη	three legged pot	0
kakkao	κακκάω	κακκάω	to defecate, shit	0
kakkalia	κακκαλία	κακκαλία	ashwagandha (Withania somnifera)	0
kakkeion	κακκείων	κατάκειμαι	to lie down, lie outstretched, recline	0
kakoi	κακοί	κακός	As a measure of quality	1
kakous	κακούς	κακός	As a measure of quality	1
kakoisi	κακοῖσι	κακός	As a measure of quality	1
kakon	κακόν	κακός	As a measure of quality	1
kakos	κακός	κακός	As a measure of quality	1
kakotes	κακότης	κακότης	evil	0
kakoo	κακόω	κακόω	to treat ill, maltreat, afflict, distress, vex	0
kakos	κακῶς	κακῶς	badly	0
kakosai	κακῶσαι	κακόω	to treat ill, maltreat, afflict, distress, vex	0
kalame	καλάμη	καλάμη	reed	0
kalamou	καλάμου	κάλαμος	a reed	0
kalamo	καλάμῳ	κάλαμος	a reed	0
kalandai	καλάνδαι	καλάνδαι	calends	0
kalapous	καλάπους	καλάπους	shoemaker's last	0
kalainos	καλάϊνος	καλάϊνος	turquoise, shimmering blue-green	0
kaleon	καλέον	καλέον	uncontracted neuter nominative/accusative/vocative singular	0
kaleonte	καλέοντε	καλέοντε	uncontracted masculine/neuter nominative/accusative/vocative	0
kaleonti	καλέοντι	καλέοντι	uncontracted masculine/neuter dative singular of κᾰλέων (kăl	0
kaleousa	καλέουσα	καλέουσα	uncontracted feminine nominative/vocative singular of κᾰλέων	0
kaleousi	καλέουσι	καλέουσι	uncontracted third-person plural present active indicative o	0
kalesas	καλέσας	καλέω	to call, summon	0
kalessai	καλέσσαι	καλέω	to call, summon	0
kaleo	καλέω	καλέω	to call, summon	0
kaligion	καλίγιον	καλίγιον	caliga, a leathern boot worn by the Romans	0
kalamis	καλαμίς	καλαμίς	limed twig	0
kaleousa	καλεούσα	καλεούσα	uncontracted feminine nominative/accusative/vocative dual of	0
kaleouse	καλεούσῃ	καλεούσῃ	uncontracted feminine dative singular of κᾰλέων (kăléōn)	0
kalein	καλεῖν	καλέω	to call, summon	0
kalia	καλιά	καλιά	wooden dwelling, hut	0
kallias	καλλίας	καλλίας	a tame ape	0
kalluno	καλλύνω	καλλύνω	to beautify	0
kaluptos	καλυπτός	καλυπτός	covering, enfolding, enveloping	1
kalopous	καλόπους	καλόπους	shoemaker's last	0
kalos	καλός	καλός	beautiful	0
kalube	καλύβη	καλύβη	A hut, a cabin	0
kaluptra	καλύπτρα	καλύπτρα	veil, headdress	1
kalupto	καλύπτω	καλύπτω	to cover	0
kalos	καλῶς	καλῶς	well	0
kaman	καμάν	καμάν	field (accusative singular)	0
kamara	καμάρα	καμάρα	anything with an arched cover such as a covered carriage or	0
kamision	καμίσιον	καμίσιον	shirt	0
kamasen	καμασήν	καμασήν	name of an unknown kind of fish	0
kammuo	καμμύω	καμμύω	to close or shut the eyes	0
kampe	καμπή	καμπή	winding, such as of a river	1
kampter	καμπτήρ	καμπτήρ	bend	0
kamptos	καμπτός	καμπτός	flexible	0
kampula	καμπύλα	καμπύλος	bent, curved	0
kampulos	καμπύλος	καμπύλος	bent, curved	0
kampsos	καμψός	καμψός	crooked, bent	0
kanakheo	καναχέω	καναχέω	to ring, clash, clang	0
kanakhe	καναχή	καναχή	noise, any sharp sound	0
kandake	κανδάκη	κανδάκη	A candace, any one of the ancient Nubian warrior queens	1
kandele	κανδήλη	κανδήλη	oil lamp	0
kanthos	κανθός	κανθός	corner of the eye	0
kanthule	κανθύλη	κανθύλη	swelling	0
kanonizo	κανονίζω	κανονίζω	to measure, regulate	0
kanon	κανών	κανών	rod, pole, bar	1
kapane	καπάνη	ἀπήνη	four-wheel wagon drawn by mules	0
kapetis	καπέτις	καπέτις	Persian measure, corresponding to ¹⁄₄₈ of the ἀρτάβη (artábē	0
kapithe	καπίθη	καπίθη	Persian unit of measure containing two choenixes	0
kapnizo	καπνίζω	καπνίζω	to make smoke, i	0
kapnou	καπνοῦ	καπνός	smoke	0
kapnon	καπνόν	καπνός	smoke	0
kapnos	καπνός	καπνός	smoke	0
kapuros	καπυρός	καπυρός	dried by the air	0
karabin	καράβιν	καράβιον	ship	0
karabion	καράβιον	καράβιον	ship	0
karis	καρίς	καρίς	shrimp, prawn	0
kardia	καρδία	καρδία	heart (as the source of emotion, love, etc	1
karkinos	καρκίνος	καρκίνος	crab	1
karkairo	καρκαίρω	καρκαίρω	to quake	0
karoukha	καροῦχα	καροῦχα	carruca, a four-wheeled carriage	0
karpaia	καρπαία	καρπαία	mimic dance in arms of the Thessalians	0
karpos	καρπός	καρπός	fruit	1
karrikos	καρρικός	καρρικός	sufficient to fill a wagon	0
kartera	καρτερά	καρτερός	strong, staunch, mighty	0
karteron	καρτερόν	καρτερός	strong, staunch, mighty	0
karteros	καρτερός	καρτερός	strong, staunch, mighty	0
kartero	καρτερώ	καρτερός	strong, staunch, mighty	0
kartos	καρτός	καρτός	shorn smooth (of clothes)	0
karukeuo	καρυκεύω	καρυκεύω	dress with rich sauce	0
karoton	καρωτόν	καρωτόν	carrot	0
karoo	καρόω	καρόω	to plunge into deep sleep or torpor, to stun or stupefy	0
karuke	καρύκη	καρύκη	sauce composed by blood and spices	0
karuinos	καρύϊνος	καρύϊνος	of nuts	0
karoton	καρῶτον	καρόω	to plunge into deep sleep or torpor, to stun or stupefy	0
kasia	κασία	κασία	cassia (Cinnamomum iners)	0
kasalbas	κασαλβάς	κασαλβάς	strumpet	0
kaskos	κασκός	κασκός	little finger, pinkie	0
kassuo	κασσύω	κασσύω	to stitch, sew together like a shoemaker	0
kasoris	κασωρίς	κασωρίς	strumpet	0
kata	κατά	κατά	[with genitive]	1
katagein	κατάγειν	κατάγω	to lead down, bring down, draw	0
katago	κατάγω	κατάγω	to lead down, bring down, draw	0
kataluma	κατάλυμα	κατάλυμα	lodging, billet, provision of quarters	0
katane	κατάνη	κατάνη	grater	0
kataskho	κατάσχω	κατέχω	to hold down	0
katedu	κατέδυ	καταδύω	to go down into, enter	0
katedo	κατέδω	κατέδω	to eat up, devour	0
katekta	κατέκτα	κατακτείνω	to kill, slay	0
kateruke	κατέρυκε	κατερύκω	hold back, hinder, detain	0
katekhei	κατέχει	καταχέω	to pour down, on, in	0
katekho	κατέχω	κατέχω	to hold down	0
katairo	καταίρω	καταίρω	to come down, swoop down	0
katairon	καταίρων	καταίρω	to come down, swoop down	0
katabas	καταβάς	καταβαίνω	to step down, to go or come down	0
kataboao	καταβοάω	καταβοάω	to cry down, cry out against	0
kataboe	καταβοή	καταβοή	outcry	0
kataboen	καταβοήν	καταβοή	outcry	0
katabole	καταβολή	καταβολή	building, structure, foundation	0
katadeo	καταδέω	καταδέω	to bind on or to, bind fast, bind up	0
katadus	καταδύς	καταδύω	to go down into, enter	0
kataduo	καταδύω	καταδύω	to go down into, enter	0
kataigis	καταιγίς	καταιγίς	squall (a storm descending from above)	0
kataklao	κατακλάω	κατακλάω	to break off, break short	0
katalego	καταλέγω	καταλέγω	to pick out, to choose out of, to levy/enlist/enrol	0
katalexo	καταλέξω	καταλέγω	to pick out, to choose out of, to levy/enlist/enrol	0
katalogo	καταλόγῳ	κατάλογος	enrolment	0
kataluo	καταλύω	καταλύω	to loosen, unbind	0
katamuo	καταμύω	καταμύω	to close or shut the eyes	0
kataneuo	κατανεύω	κατανεύω	to nod	0
katanoeo	κατανοέω	κατανοέω	to perceive, observe, watch	0
katapleo	καταπλέω	καταπλέω	to sail from sea to land, come ashore	0
katargeo	καταργέω	καταργέω	to leave unemployed or idle	0
katarreo	καταρρέω	καταρρέω	to flow down	0
katarroe	καταρροή	καταρροή	defluxion, flowing down	0
kataspao	κατασπάω	κατασπάω	to draw down, pull down	0
katastas	καταστάς	καθίστημι	to set down, stop, bring to land	0
katakheo	καταχέω	καταχέω	to pour down, on, in	0
kataitux	καταῖτυξ	καταῖτυξ	leather helmet or skullcap	0
kateirgo	κατείργω	κατείργω	to drive into, shut in	0
kateboon	κατεβόων	καταβοάω	to cry down, cry out against	0
katepano	κατεπάνω	κατεπάνω	above, overhead	1
kateruko	κατερύκω	κατερύκω	hold back, hinder, detain	0
kateruo	κατερύω	κατερύω	draw, haul down	0
kateidon	κατεῖδον	καθοράω	to look down	0
kategoro	κατηγορῶ	κατηγορέω	to speak against, especially before judges, to accuse, to de	0
katekheo	κατηχέω	κατηχέω	to resound	0
katidon	κατιδών	καθοράω	to look down	0
katoikia	κατοίκια	κατοίκια	household goods	0
katoikie	κατοίκιε	κατοίκιος	belonging to the household	0
katoikou	κατοίκου	κάτοικος	inhabitant	0
katoiko	κατοίκω	κάτοικος	inhabitant	0
katoikas	κατοικάς	κατοικάς	a household	0
katoikeo	κατοικέω	κατοικέω	to dwell in, to settle in, to colonise	0
katoikia	κατοικία	κατοικία	habitation	0
katoikis	κατοικίς	κατοικίς	a household	0
katoikio	κατοικίω	κατοίκιος	belonging to the household	0
katoikia	κατοικίᾳ	κατοίκιος	belonging to the household	0
katoulas	κατουλάς	κατουλάς	shrouding	0
katokhe	κατοχή	κατοχή	a holding fast, detention	0
kattus	καττύς	καττύς	piece of leather	0
katton	καττῶν	κάττα	cat	0
katopin	κατόπιν	κατόπιν	behind	0
katelips	κατῆλιψ	κατῆλιψ	upper story	0
katokize	κατῴκιζε	κατοικίζω	to settle, establish a colony	0
kaulos	καυλός	καυλός	stem, stalk	0
kaunakes	καυνάκης	καυνάκης	thick cloak said to be of Persian or Babylonian make	0
kausia	καυσία	καυσία	royal hat made of felt, used by Macedonians	1
kauston	καυστόν	καυστός	burnt	0
kaustos	καυστός	καυστός	burnt	0
kautos	καυτός	καυτός	burnt	0
kaphoura	καφουρά	καφουρά	camphor tree (Cinnamomum camphora)	0
kaulinos	καύλινος	καύλινος	made of a stalk or stick	0
kauson	καύσων	καύσων	burning heat, summer heat, heatwave	0
kaie	καῖε	καίω	to light, kindle, set on fire	0
kairos	καῖρος	καῖρος	row of thrums in the loom, ravel	0
kaukos	καῦκος	καῦκος	kind of cup	0
kauma	καῦμα	καῦμα	burning, glow, heat (especially of the sun)	0
keazo	κεάζω	κεάζω	to split, cleave wood	0
keimenos	κείμενος	κεῖμαι	to lie, lie outstretched	0
keimen	κείμην	κεῖμαι	to lie, lie outstretched	0
keirein	κείρειν	κείρω	to shear, shave, cut hair short	0
keiro	κείρω	κείρω	to shear, shave, cut hair short	0
keiron	κείρων	κείρω	to shear, shave, cut hair short	0
keisetai	κείσεται	κεῖμαι	to lie, lie outstretched	0
keisoito	κείσοιτο	κεῖμαι	to lie, lie outstretched	0
keisomai	κείσομαι	κεῖμαι	to lie, lie outstretched	0
keise	κείσῃ	κεῖμαι	to lie, lie outstretched	0
keble	κεβλή	κεφαλή	head	1
kedna	κεδνά	κεδνός	careful, diligent, trusty	0
kednos	κεδνός	κεδνός	careful, diligent, trusty	0
kedris	κεδρίς	κεδρίς	juniper berry	0
kedrites	κεδρίτης	κεδρίτης	wine flavoured with the oil of the Syrian cedar	0
keiria	κειρία	κειρία	girth of a bedstead	0
keklegon	κεκλήγων	κεκλήγων	shouting, yelling	0
kekoteos	κεκοτηώς	κοτέω	to hold a grudge	0
kelebe	κελέβη	κελέβη	A cup, a jar	1
keletion	κελήτιον	κέλης	racehorse	0
keladeo	κελαδέω	κελαδέω	to sound as flowing water	0
kelainon	κελαινόν	κελαινός	black, dark, swarthy, murky	0
kelainos	κελαινός	κελαινός	black, dark, swarthy, murky	0
kelaruzo	κελαρύζω	κελαρύζω	to babble, gurgle	0
keleueto	κελευέτω	κελεύω	to urge, bid, exhort	0
keleos	κελεός	κελεός	green woodpecker (Picus viridis)	0
keleuei	κελεύει	κελεύω	to urge, bid, exhort	0
keleuein	κελεύειν	κελεύω	to urge, bid, exhort	0
keleueis	κελεύεις	κελεύω	to urge, bid, exhort	0
keleuete	κελεύητε	κελεύω	to urge, bid, exhort	0
keleuois	κελεύοις	κελεύω	to urge, bid, exhort	0
keleusei	κελεύσει	κελεύω	to urge, bid, exhort	0
keleuso	κελεύσω	κελεύω	to urge, bid, exhort	0
keleuo	κελεύω	κελεύω	to urge, bid, exhort	0
